1301,100000,28,7499
1302,200000,56,14134
1303,300000,84,20796
1304,400000,112,27436
1305,500000,140,34351
1306,1000,168,58
1307,1100,196,85
1308,1200,224,88
1309,1300,252,102
1310,1400,280,104
1311,1500,308,163
1312,1600,336,128
1313,1700,364,129
1314,1800,392,118
1315,1900,420,123
1316,2000,448,131
1317,2100,476,133
1318,2200,504,138
1319,2300,532,145
1320,2400,560,151
1321,2500,588,155
1322,2600,616,161
1323,2700,644,167
1324,2800,672,173
1325,2900,700,178
1326,3000,728,183
1327,3100,756,192
1328,3200,784,204
1329,3300,812,201
1330,3400,840,206
1331,3500,868,213
1332,3600,896,218
1333,3700,924,223
1334,3800,952,228
1335,3900,980,235
1336,4000,1008,247
1337,4100,1036,246
1338,4200,1064,264
1339,4300,1092,281
1340,4400,1120,268
1341,4500,1148,270
1342,4600,1176,276
1343,4700,1204,280
1344,4800,1232,351
1345,4900,1260,293
1346,5000,1288,298
1347,5100,1316,303
1348,5200,1344,330
1349,5300,1372,315
1350,5400,1400,319
1351,5500,1428,326
1352,5600,1456,340
1353,5700,1484,341
1354,5800,1512,354
1355,5900,1540,363
1356,100,1568,7
1357,200,1596,11
1358,300,1624,22
1359,400,1652,23
1360,500,1680,29
1361,10,1708,3
1362,20,1736,5
1363,30,1764,4
1364,40,1792,4
1365,50,1820,9
1366,1000000,1848,66998
1367,2000000,1876,132693
1368,3000000,1904,198706
1369,4000000,1932,264489
1370,5000000,1960,332501
